,Unnamed: 0,Date,Session,Trial,Subject_Involved,Participants,Subject,Start_TTL,Stop_TTL
0,0,2022.11.08,A,T01,A,SE001A,A,53.621,293.415824
1,1,2022.11.08,A,T02,BC,SE001B,B,52.505074,429.007159
2,2,2022.11.08,A,T02,BC,SE001C,C,29.253039,405.756262
3,3,2022.11.08,A,T03,B,SE001B,B,28.0201,288.289622
4,4,2022.11.08,A,T04,C,SE001C,C,8.269579,263.656877
5,5,2022.11.08,A,T05,AB,SE001A,A,0,0.0
6,6,2022.11.08,A,T05,AB,SE001B,B,0,0.0
7,7,2022.11.08,A,T06,AC,SE001A,A,25.435073,472.629814
8,8,2022.11.08,A,T06,AC,SE001C,C,13.419051,460.614294
9,9,2022.11.09,A,T01,AC,SE002A,A,64.354224,474.140406
10,10,2022.11.09,A,T01,AC,SE002C,C,46.332542,456.119949
11,11,2022.11.09,A,T07,A,SE002A,A,21.740373,279.215055
12,12,2022.11.09,A,T03,B,SE002B,B,15.298265,290.032628
13,13,2022.11.09,A,T04,C,SE002C,C,8.494404,283.12866
14,14,2022.11.09,A,T05,BC,SE002B,B,21.272211,407.757186
15,15,2022.11.09,A,T05,BC,SE002C,C,8.08204,394.566747
16,16,2022.11.09,A,T06,AB,SE002A,A,20.343625,462.197292
17,17,2022.11.09,A,T06,AB,SE002B,B,7.242292,449.095382
18,18,2022.11.14,M,T01,C,SE002C,C,32.187013,325.22685
19,19,2022.11.14,M,T02,B,SE002B,B,19.989217,302.519079
20,20,2022.11.14,M,T03,AC,SE002A,A,35.999093,471.262901
21,21,2022.11.14,M,T03,AC,SE002C,C,20.463745,455.73048
22,22,2022.11.14,M,T04,AB,SE002A,A,42.943642,446.688034
23,23,2022.11.14,M,T04,AB,SE002B,B,17.017367,420.760322
24,24,2022.11.14,M,T05,BC,SE002B,B,28.330676,407.513512
25,25,2022.11.14,M,T05,BC,SE002C,C,17.703589,396.888499
26,26,2022.11.14,M,T06,A,SE002A,A,16.0438,264.805957
27,27,2022.11.15,M,T01,A,SE004A,A,16.558787,291.603535
28,28,2022.11.15,M,T02,BC,SE004B,B,31.07073,423.278278
29,29,2022.11.15,M,T02,BC,SE004C,C,16.519466,408.722339
30,30,2022.11.15,M,T03,B,SE004B,B,11.795111,309.192042
31,31,2022.11.15,M,T04,C,SE004C,C,13.012366,271.652142
32,32,2022.11.15,M,T05,AC,SE004A,A,31.452947,405.173174
33,33,2022.11.15,M,T05,AC,SE004C,C,14.302529,388.023559
34,34,2022.11.15,M,T06,AB,SE004A,A,69.326279,453.622322
35,35,2022.11.15,M,T06,AB,SE004B,B,15.61475,399.907343
36,36,2022.11.15,A,T01,AC,SE005A,A,161.716307,535.984654
37,37,2022.11.15,A,T01,AC,SE005C,C,135.431288,509.700973
38,38,2022.11.15,A,T02,BC,SE005B,B,13.649995,404.014467
39,39,2022.11.15,A,T02,BC,SE005C,C,0,0.0
40,40,2022.11.15,A,T03,AB,SE005A,A,27.278443,418.904676
41,41,2022.11.15,A,T03,AB,SE005B,B,12.804929,404.43103
42,42,2022.11.15,A,T04,C,SE005C,C,0,0.0
43,43,2022.11.15,A,T05,B,SE005B,B,11.486256,272.194045
44,44,2022.11.15,A,T06,A,SE005A,A,98.502414,335.511538
45,45,2022.11.17,M,T01,A,SE006A,A,117.399756,450.495061
46,46,2022.11.17,M,T05,AC,SE006A,A,104.077067,529.658904
47,47,2022.11.17,M,T05,AC,SE006C,C,0,0.0
48,48,2022.11.17,M,T04,C,SE006C,C,9.310017,271.157681
49,49,2022.11.21,A,T01,AC,SE007A,A,44.582365,440.498561
50,50,2022.11.21,A,T01,AC,SE007C,C,14.11247,410.02968
51,51,2022.11.21,A,T02,BC,SE007B,B,11.774512,396.612768
52,52,2022.11.21,A,T02,BC,SE007C,C,34.475449,419.30838
