,Date,Session,Trial,Subject_Involved,Participants,Subject,Start_TTL,Stop_TTL
0,2022.11.08,A,T01,A,SE001A,A,53.621,293.415824
1,2022.11.08,A,T02,BC,SE001B,B,52.505074,429.007159
2,2022.11.08,A,T02,BC,SE001C,C,29.253039,405.756262
3,2022.11.08,A,T03,B,SE001B,B,28.0201,288.289622
4,2022.11.08,A,T04,C,SE001C,C,8.269579,263.656877
5,2022.11.08,A,T05,AB,SE001A,A,0,0
6,2022.11.08,A,T05,AB,SE001B,B,0,0
7,2022.11.08,A,T06,AC,SE001A,A,25.435073,472.629814
8,2022.11.08,A,T06,AC,SE001C,C,13.419051,460.614294
9,2022.11.09,A,T01,AC,SE002A,A,64.354224,474.140406
10,2022.11.09,A,T01,AC,SE002C,C,46.332542,456.119949
11,2022.11.09,A,T07,A,SE002A,A,21.740373,279.215055
12,2022.11.09,A,T03,B,SE002B,B,15.298265,290.032628
13,2022.11.09,A,T04,C,SE002C,C,8.494404,283.12866
14,2022.11.09,A,T05,BC,SE002B,B,21.272211,407.757186
15,2022.11.09,A,T05,BC,SE002C,C,8.08204,394.566747
16,2022.11.09,A,T06,AB,SE002A,A,20.343625,462.197292
17,2022.11.09,A,T06,AB,SE002B,B,7.242292,449.095382
18,2022.11.14,M,T01,C,SE002C,C,0,0
19,2022.11.14,M,T02,B,SE002B,B,19.989217,302.519079
20,2022.11.14,M,T03,AC,SE002A,A,35.999093 471,471.262901
21,2022.11.14,M,T03,AC,SE002C,C,0,0
22,2022.11.14,M,T04,AB,SE002A,A,42.943642,446.688034
23,2022.11.14,M,T04,AB,SE002B,B,17.017367,420.760322
24,2022.11.14,M,T05,BC,SE002B,B,28.330676,407.513512
25,2022.11.14,M,T05,BC,SE002C,C,0,0
26,2022.11.14,M,T06,A,SE002A,A,16.0438,264.805957
27,2022.11.15,M,T01,A,SE004A,A,16.55878,291.6035
28,2022.11.15,M,T02,BC,SE004B,B,31.07073,423.278278
29,2022.11.15,M,T02,BC,SE004C,C,16.519466,408.722339
30,2022.11.15,M,T03,B,SE004B,B,11.795111,309.192042
31,2022.11.15,M,T04,C,SE004C,C,13.012366,271.652142
32,2022.11.15,M,T05,AC,SE004A,A,31.452947,405.173174
33,2022.11.15,M,T05,AC,SE004C,C,14.302529,388.023559
34,2022.11.15,M,T06,AB,SE004A,A,69.326279,453.622322
35,2022.11.15,M,T06,AB,SE004B,B,15.61475,399.907343
36,2022.11.15,A,T01,AC,SE005A,A,16.558787,291.603535
37,2022.11.15,A,T01,AC,SE005C,C,135.431288,509.700973
38,2022.11.15,A,T02,BC,SE005B,B,31.07073,423.278278
39,2022.11.15,A,T02,BC,SE005C,C,0,0
40,2022.11.15,A,T03,AB,SE005A,A,27.278443,418.904676
41,2022.11.15,A,T03,AB,SE005B,B,11.795111,309.192042
42,2022.11.15,A,T04,C,SE005C,C,0,0
43,2022.11.15,A,T05,B,SE005B,B,11.486256,272.194045
44,2022.11.15,A,T06,A,SE005A,A,69.326279,453.622322
45,2022.11.17,M,T01,A,SE006A,A,117.399756,450.495061
46,2022.11.17,M,T05,AC,SE006A,A,104.077067,529.658904
47,2022.11.17,M,T05,AC,SE006C,C,0,0
48,2022.11.17,M,T04,C,SE006C,C,0,0
49,2022.11.21,A,T01,AC,SE007A,A,44.582365,440.498561
50,2022.11.21,A,T01,AC,SE007C,C,14.11247,410.02968
51,2022.11.21,A,T02,BC,SE007B,B,11.774512,396.612768
52,2022.11.21,A,T02,BC,SE007C,C,34.475449,419.30838
53,2022.11.21,A,T03,B,SE006B,B,11.431,297.491
54,2022.11.21,A,T04,A,SE007A,A,5.587384,290.246825
55,2022.11.21,A,T05,AB,SE006A,A,30.393231,395.195729
56,2022.11.21,A,T05,AB,SE007B,B,20.584,385.384
57,2022.11.21,A,T06,C,SE007C,C,18.070833,274.70785
58,2022.11.24,M,T01,B,SE008B,B,59.476,361.968
59,2022.11.24,M,T02,AC,SE008A,A,14.237979,435.433736
60,2022.11.24,M,T02,AC,SE008C,C,0,0
61,2022.11.24,M,T03,A,SE008A,A,12.258087,256.117032
62,2022.11.24,M,T04,BC,SE008B,B,24.486,403.331
63,2022.11.24,M,T04,BC,SE008C,C,0,0
64,2022.11.24,M,T05,AB,SE008A,A,71.299869,461.751379
65,2022.11.24,M,T05,AB,SE008B,B,58.495,448.925
66,2022.11.24,M,T06,C,SE008C,C,0,0
67,2022.11.28,A,T01,BC,SE009B,B,28.564,429.792
68,2022.11.28,A,T01,BC,SE009C,C,12.283897,413.524752
69,2022.11.28,A,T02,A,SE009A,A,12.417548,276.903482
70,2022.11.28,A,T03,C,SE009C,C,12.88156,289.350714
71,2022.11.28,A,T04,B,SE009B,B,43.171,300.419
72,2022.11.28,A,T05,AC,SE009A,A,27.577573,379.613041
73,2022.11.28,A,T05,AC,SE009C,C,15.021271,367.056945
74,2022.11.28,A,T06,AB,SE009A,A,26.92817,399.043136
75,2022.11.28,A,T06,AB,SE009B,B,15.726,387.843
76,2022.11.29,A,T01,AB,SE010A,A,31.869142,414.874242
77,2022.11.29,A,T01,AB,SE010B,B,15.123,398.129
78,2022.11.29,A,T04,B,SE009B,B,32.762,296.846
79,2022.11.29,A,T06,A,SE010A,A,27.802985,282.670828
80,2022.11.29,A,T02,AC,SE010A,A,30.578652,394.637726
81,2022.11.29,A,T02,AC,SE010C,C,19.405246,383.466163
82,2022.11.29,A,T05,BC,SE010B,B,42.812,413.884
83,2022.11.29,A,T05,BC,SE009C,C,21.603051,392.677536
84,2022.11.29,A,T03,C,SE010C,C,35.205121,313.022159
85,2022.11.30,A,T01,C,SE011C,C,12.945044,323.155347
86,2022.11.30,A,T02,AB,SE011A,A,0,0
87,2022.11.30,A,T02,AB,SE011B,B,93.435,502.965
88,2022.11.30,A,T03,AC,SE011A,A,28.703639,382.709866
89,2022.11.30,A,T03,AC,SE011C,C,15.39622,369.405661
90,2022.11.30,A,T04,B,SE011B,B,21.656653,272.369345
91,2022.11.30,A,T05,A,SE011A,A,13.797311,237.9696
92,2022.11.30,A,T06,BC,SE011B,B,64.011,449.583
93,2022.11.30,A,T06,BC,SE011C,C,0,0
94,2022.12.01,A,T01,B,SE012B,B,56.26955,362.528777
95,2022.12.01,A,T02,AC,SE011A,A,215.891801,586.732844
96,2022.12.01,A,T02,AC,SE012C,C,10.794806,381.636877
97,2022.12.01,A,T03,A,SE011A,A,16.570824,263.062503
98,2022.12.01,A,T04,C,SE011C,C,10.384493,285.62419
