,file_name,Subject1,Subject2,n_success,n_failures,norm_score,skill,task_score,max_seq,avg_seq,bounce_hull,bounce_std,bounce_sp_entropy,bounce_sc_entropy,rt_lyp,samp_en,std_rt,avg_p1,avg_p2,avg_p3,var_p1,var_p2,var_p3,avg_start_fs,std_start_fs,p1_on,p1_off,p1_dn,p1_mda,p1_md,p1_mid,p1_mad,p1_mm,p1_sm,p1_gm,p1_occ,p1_sampen,p1_std,p2_on,p2_off,p2_dn,p2_mda,p2_md,p2_mid,p2_mad,p2_mm,p2_sm,p2_gm,p2_occ,p2_sampen,p2_std,fsp3_on,fsp3_off,fsp3_dn,fsp3_mfs,fsp3_mifs,fsp3_occ,fsp3_sampen,fsp3_std,percentage
0,2022-11-08_A_T01,SE001A,,228,1,11.47275852,2556.380625,9.893,228,228.0,315455.6282,125.9873927,0.469221849,0.644309888,0.262845725,0.936507524,7.73621054,33.9254386,25.31140351,27.14035088,3.514214529,5.016153884,6.285428977,37.83333333,7.314269479,266.3157895,199.5175439,66.79824561,11.7369057,10.85897573,8.523379307,13.90785532,408.8702749,2851.644849,28.30803623,1.0,1.071881663,43.38249218,88.13131313,19.24242424,68.88888889,10.36618932,9.859633286,6.104598277,13.26362858,288.4563528,2151.537878,21.2432233,0.868421053,1.133071039,41.82748274,281.7010309,70.05154639,211.6494845,9.660996975,5.700339573,0.850877193,1.210709505,47.75903242,96.584472
1,2022-11-08_A_T03,SE001B,,197,1,9.595613434,1901.9358,10.213,197,197.0,322035.7515,124.060744,0.458544037,0.637396936,0.236128077,1.000756499,8.093402034,39.89340102,25.94923858,37.31472081,3.837274719,4.038829545,5.776939677,53.30456853,6.492371896,226.9035533,158.3756345,68.52791878,13.49576973,8.118766518,7.490606184,8.743330852,316.2423625,2231.645558,22.08271679,1.0,1.384316121,35.90817162,83.41463415,19.69512195,63.7195122,12.49098111,11.04922794,9.063988791,12.36439708,266.8931721,1822.709888,18.05281251,0.83248731,1.334223915,30.19124054,343.4355828,167.8527607,175.5828221,10.0363956,8.8175658,0.827411168,0.945997236,93.86547175,99.201658
2,2022-11-08_A_T04,SE001C,,93,7,7.601202051,814.8452221,1.41425,23,11.625,545192.4084,177.6043728,0.564620659,0.644355601,0.248869479,1.018569581,11.52274842,43.77419355,27.87096774,41.33333333,5.775605042,7.242683823,5.466089663,61.84946237,12.20342472,369.3548387,289.5698925,79.78494624,13.29430331,13.66279032,10.06501162,18.76973695,538.072754,4416.268526,42.85165399,1.0,1.093971909,61.65820549,95.30120482,29.39759036,65.90361446,13.92631479,13.10263051,9.199060484,15.80794664,299.0314984,2105.634477,20.80851517,0.892473118,0.945737933,38.03414285,390.2325581,115.5813953,274.6511628,10.60132438,7.17466059,0.924731183,0.857902414,124.6819643,97.582728
3,2022-11-09_A_T03,SE002B,,173,6,10.23158927,1861.304449,2.331714286,56,24.71428571,357817.9092,134.3042474,0.493585231,0.637412859,0.191109374,1.140089806,6.20712902,36.46242775,25.28901734,29.30635838,4.432542414,5.615600243,5.276605038,39.31213873,7.482211857,199.244186,136.3953488,62.84883721,11.91563684,8.662874868,7.96244468,9.338391185,302.3688857,2001.527418,17.25844789,0.994219653,1.009652949,56.99866095,42.67605634,-11.97183099,54.64788732,18.59195216,16.29443168,15.08421378,17.51342755,191.5412052,1136.674143,9.882647368,0.820809249,1.233599498,31.03645047,231.3461538,114.2307692,117.1153846,10.60376598,9.443170328,0.300578035,1.187165686,68.92990179,89.818182
4,2022-11-09_A_T04,SE002C,,162,8,9.684925476,1723.517436,1.766777778,65,18.0,447417.1925,150.3994508,0.522347725,0.638125173,0.224450082,0.907227226,8.857749383,38.22222222,25.91975309,29.34567901,4.809969072,5.416000979,4.306642856,42.25925926,9.363414194,339.1925466,276.0248447,63.16770186,12.89961615,12.42909451,9.426126,16.93590807,393.052904,2618.976265,25.24921856,0.99382716,0.80084142,80.74171038,139.1791045,76.86567164,62.31343284,11.17054553,11.70338504,7.310238681,15.84919146,317.1177656,2092.002342,18.9270306,0.827160494,1.207912402,61.89843037,312.8688525,147.8688525,165.0,7.06793209,4.958401762,0.75308642,0.756626599,145.5021239,86.100906
5,2022-11-09_A_T07,SE002A,,69,14,5.847953216,611.1401458,0.627,14,4.6,518992.7534,199.0728159,0.581077289,0.616589464,0.255778253,1.122142786,12.06937518,41.79710145,30.75362319,40.97101449,7.288226977,10.54239996,12.16549053,60.66666667,11.87332495,274.8484848,222.7272727,52.12121212,16.51396345,10.02046947,7.02204512,14.05897997,193.4657487,1099.24185,10.77397618,0.956521739,0.916290732,127.6743303,104.2592593,51.2962963,52.96296296,8.70483465,11.33242256,8.427555935,13.34517644,156.2055733,923.9179121,9.12978934,0.782608696,0.343980024,92.08695271,438.2,172.0,266.2,7.446337459,6.031753966,0.724637681,0.991928146,57.20139858,83.99612
6,2022-11-14_M_T01,SE003C,,170,7,9.296224478,1790.923215,2.19175,47,21.25,387727.0918,141.4066545,0.511537518,0.610729088,0.273399264,0.700151645,12.92452003,38.01176471,23.78823529,37.61764706,6.125153765,7.669027268,6.960454287,53.38235294,12.54876302,340.6470588,280.0,60.64705882,11.90079108,12.59623975,9.85649411,16.88876208,378.2100652,2522.379661,24.12198966,1.0,1.053995223,73.45381997,55.59055118,-3.779527559,59.37007874,9.413028383,6.876765448,5.260362347,8.481435195,204.4588442,1361.856095,13.27461096,0.747058824,1.009086452,40.98498944,364.3571429,102.6428571,261.7142857,6.630472461,3.99077318,0.823529412,0.841143995,78.76375811,98.653302
7,2022-11-14_M_T02,SE003B,,112,9,8.194112967,1111.443648,1.257,21,11.2,451184.6197,164.6948731,0.539671483,0.645920392,0.230324239,1.132777102,11.20165349,40.875,26.00892857,37.54464286,6.444993904,7.214191787,5.861326631,44.91071429,11.16879707,383.3928571,316.875,66.51785714,21.31703358,15.96305959,9.679514436,24.36883289,385.0135687,2707.578569,25.94720789,1.0,1.063520969,85.2051471,153.0120482,91.56626506,61.44578313,9.066271495,8.667634003,5.373084433,12.57009945,267.8923098,1793.727531,17.25233689,0.741071429,1.552005863,52.65790802,432.1428571,221.6666667,210.4761905,7.379106392,4.70770318,0.75,1.034405387,149.8636947,84.151344
8,2022-11-14_M_T06,SE003A,,154,2,8.610434487,1344.253932,5.884333333,98,51.33333333,493886.5764,156.0076093,0.53294864,0.640780816,0.199752867,1.140826349,7.889107995,44.85064935,23.97402597,44.2987013,6.159969712,6.761184147,4.03576522,59.96753247,10.73797656,261.9607843,196.3398693,65.62091503,19.81157904,18.3313749,16.95197023,19.50330373,361.1756588,2563.52012,23.19663098,0.993506494,1.266008195,71.6386979,87.42857143,27.14285714,60.28571429,11.70264896,9.242316963,6.220763675,12.13633929,289.4291761,1920.629869,17.53273423,0.681818182,1.144116044,58.27731032,438.3333333,186.5740741,251.7592593,7.231198343,3.907900704,0.701298701,0.870246793,146.9452029,93.579086
9,2022-11-15_M_T01,SE004A,,145,7,8.988471309,1467.194362,1.919125,48,18.125,528247.5061,157.8600967,0.538238641,0.631713934,0.191099092,0.904456274,9.865820362,41.93103448,22.94482759,36.35172414,7.571867325,7.425751382,4.851634683,45.84827586,10.53488853,347.1014493,295.4347826,51.66666667,10.4468273,10.34191143,7.582881916,13.71438634,236.9709018,1372.567221,13.58054783,0.951724138,0.913664335,123.9518542,127.2807018,72.80701754,54.47368421,8.895632339,9.642157894,5.579537392,13.66116765,252.8427997,1504.343461,14.74933862,0.786206897,1.253721282,47.02155325,393.5897436,175.4700855,218.1196581,6.681432314,4.463836194,0.806896552,0.858053696,145.3465986,98.012716
