,file_name,Subject1,Subject2,n_success,n_failures,norm_score,skill,task_score,max_seq,avg_seq,bounce_hull,bounce_std,bounce_sp_entropy,bounce_sc_entropy,rt_lyp,samp_en,std_rt,avg_p1,avg_p2,avg_p3,var_p1,var_p2,var_p3,avg_start_fs,std_start_fs,p1_on,p1_off,p1_dn,p1_mda,p1_md,p1_mid,p1_mad,p1_mm,p1_sm,p1_gm,p1_occ,p1_sampen,p1_std,p2_on,p2_off,p2_dn,p2_mda,p2_md,p2_mid,p2_mad,p2_mm,p2_sm,p2_gm,p2_occ,p2_sampen,p2_std,fsp3_on,fsp3_off,fsp3_dn,fsp3_mfs,fsp3_mifs,fsp3_occ,fsp3_sampen,fsp3_std,percentage
52,2023-01-26_M_T03,SE026B,,199,9,11.83653127,2483.963369,1.6052,86,19.9,327168.2378,122.2859134,0.469968874,0.647797071,0.186630696,0.254828598,15.09280902,30.15577889,25.76884422,20.96984925,5.736321223,5.391863792,8.931852294,32.91457286,9.218058456,181.3131313,116.2121212,65.1010101,11.82831966,7.501853989,5.958502295,9.099092789,373.9744669,2566.389853,25.38589792,0.994974874,0.608171064,61.30971984,70.81395349,11.10465116,59.70930233,13.8859796,12.04545324,8.562316977,15.22549412,319.11577,2093.773244,20.65243845,0.864321608,0.971907423,44.59677526,239.1150442,52.47787611,186.6371681,8.167514294,6.006474593,0.567839196,0.877985366,38.63903692,98.630328
53,2023-02-06_A_T02,SE027B,,126,30,7.039155301,1459.862069,0.439935484,23,4.064516129,691780.5472,200.8830408,0.581063318,0.574867564,0.253370792,1.159053643,9.912800081,36.55555556,25.16666667,26.3968254,6.217685421,6.619775568,6.128361553,39.03968254,7.210443037,313.4126984,249.9206349,63.49206349,9.42476365,9.600535955,7.120617443,12.64485134,326.0620286,2175.92803,21.48691475,1.0,1.019059657,77.19448432,128.9189189,68.1981982,60.72072072,8.815287335,10.69586906,5.981496652,14.99641938,236.6795939,1604.410381,15.77313107,0.880952381,1.164987358,47.19809416,310.1136364,154.4318182,155.6818182,6.804384048,4.654775759,0.698412698,1.007736706,112.9949512,93.661582
54,2023-02-07_A_T01,SE028A,,239,1,12.59525826,3088.957387,9.448,239,239.0,323865.4871,127.5353454,0.475714856,0.56568672,0.207490027,0.931827202,6.754335648,31.05020921,23.958159,23.73640167,4.113147351,3.943949123,3.987634289,37.05857741,4.759126848,269.8712446,214.4635193,55.40772532,13.67565949,9.687731587,7.62719542,13.37551601,275.7886147,1690.187384,14.89740306,0.974895397,0.878396997,62.85401498,97.38916256,42.90640394,54.48275862,12.52220435,15.54479136,11.41513093,18.80872614,208.632506,1260.064109,11.42919787,0.849372385,1.320112454,49.60515309,244.7297297,138.7837838,105.9459459,10.16025915,8.979814794,0.309623431,0.981888014,93.0264813,97.557132
55,2023-02-07_A_T02,SE028B,,251,6,10.86811871,2805.051982,3.220428571,115,35.85714286,514504.3041,151.1514369,0.524726829,0.585348056,0.238337889,1.00995127,7.548130249,35.31075697,24.43027888,27.88844622,5.693975623,5.617818082,3.708972911,39.90836653,7.250468437,260.56,199.48,61.08,14.69029759,13.65032411,11.48342398,15.29060497,255.3015029,1691.274341,15.50286239,0.996015936,1.054986631,78.18750795,96.16113744,40.61611374,55.5450237,9.735845399,9.804558529,6.762178195,12.27476231,241.2821904,1476.371692,14.21237561,0.84063745,1.313628717,47.59577629,267.7604167,90.20833333,177.5520833,6.527175522,4.808218791,0.764940239,0.813613119,100.5296304,96.176538
56,2023-02-08_A_T03,SE029B,,221,5,10.85536235,2469.585883,3.316333333,106,36.83333333,479999.724,138.3169577,0.500793029,0.567005997,0.219159991,0.988973568,6.927839724,35.32579186,24.59728507,28.05429864,4.304340116,5.070167548,3.046657108,41.80542986,7.338805766,287.3059361,235.2511416,52.05479452,5.440321614,4.660803684,2.802216126,7.183906602,224.5127532,1282.028362,12.66591665,0.990950226,0.842434629,55.65346557,69.4972067,16.81564246,52.68156425,10.76062986,10.63814254,8.078083986,12.77153156,174.4929405,1035.002612,10.26103116,0.809954751,0.988271609,40.40678276,251.0691824,70.75471698,180.3144654,7.846896067,6.512104579,0.719457014,0.816292159,57.47897805,96.336404
57,2023-02-15_M_T04,SE030A,,111,19,6.879533388,1092.830284,0.66865,19,5.55,542637.313,189.5900774,0.571370047,0.627748339,0.212033987,1.046496288,15.36134049,39.1981982,29.18018018,35.02702703,7.392252847,9.702046035,4.829450679,54.42342342,10.93597217,302.3636364,245.2727273,57.09090909,8.620630657,9.019697778,6.49010596,11.24376003,281.5295541,1763.316184,15.34993417,0.990990991,0.993251773,104.3414611,104.0625,48.54166667,55.52083333,8.71460925,10.7537416,7.145428707,14.02596844,220.4532162,1380.227464,12.47928694,0.864864865,1.386294361,48.76769177,344.3010753,137.4193548,206.8817204,6.633541628,4.420901379,0.837837838,0.612882817,133.8584008,86.418026
58,2023-02-15_M_T05,SE030C,,71,19,5.709893489,700.0032888,0.45535,18,3.55,364958.8367,158.2620553,0.540038896,0.642136266,0.182970628,1.230730253,13.9086486,37.12676056,29.3943662,34.49295775,7.58970685,8.157738697,4.758604481,58.25352113,9.866315307,277.1830986,215.3521127,61.83098592,12.79892989,11.13486952,9.668417431,12.26128484,285.0080146,1925.598707,17.33815382,1.0,1.265108804,90.10452613,127.0967742,71.4516129,55.64516129,9.603692538,8.91954981,6.791831902,11.38335379,232.0405463,1411.101644,12.72619295,0.873239437,1.495493653,69.31431674,370.3125,154.53125,215.78125,6.711151557,4.812872242,0.901408451,1.078077686,131.9319153,98.611164
59,2023-02-15_A_T02,SE031B,,153,14,9.423728814,1740.27974,0.983333333,36,10.2,567143.1986,182.417507,0.572811893,0.62991986,0.244735047,1.311534286,10.51512319,34.00653595,25.62091503,28.77777778,6.269019929,7.611486449,4.867153108,45.5620915,9.245263805,256.5131579,197.3684211,59.14473684,10.40500674,9.824378839,7.681096403,11.69606173,268.5173756,1743.096583,16.4936163,0.993464052,0.944276097,74.588872,81.09243697,25.37815126,55.71428571,10.94336573,11.09042031,8.48728565,13.51851077,198.1939255,1199.040807,11.16495264,0.777777778,0.995763477,55.39453475,273.5514019,103.5514019,170.0,7.894004847,6.476244894,0.699346405,1.011600912,89.08939474,93.93655
60,2023-02-27_A_T01,SE032B,,76,29,4.901960784,831.5247069,0.3196,12,2.533333333,274792.5625,149.1877473,0.521132783,0.614142422,0.199553117,0.950802784,9.766101131,35.18421053,24.28947368,31.73684211,5.215640765,4.698308177,6.048854657,44.59210526,6.493271075,208.75,155.15625,53.59375,15.49722596,8.982848233,7.262969926,10.89869901,219.5598368,1282.778909,12.51442009,0.842105263,1.110446746,91.04428867,63.7254902,10.19607843,53.52941176,11.43265656,9.117087419,7.237202672,10.99007335,182.2949367,1044.719163,10.20303441,0.671052632,0.997636371,59.14292374,318.2926829,131.2195122,187.0731707,7.301409762,5.238871288,0.539473684,1.188224447,96.42879648,93.791692
61,2023-02-27_A_T02,SE032A,,190,6,10.66666667,2103.035128,2.464285714,97,27.14285714,513049.1198,160.4298763,0.539081116,0.565073423,0.285764456,0.935983812,9.323192123,34.35263158,22.69473684,30.81052632,5.000722939,6.047311163,4.451598736,42.72105263,7.77249394,299.0909091,238.5561497,60.53475936,14.26732926,9.487313691,5.814680815,15.07301205,309.6838246,2007.770721,18.91778682,0.984210526,1.076430233,72.33853325,67.87878788,10.60606061,57.27272727,13.61967575,12.12504176,9.951147252,14.04911294,208.6233908,1328.818161,12.89317556,0.694736842,1.249055141,50.37781954,264.4285714,144.5714286,119.8571429,8.354002218,7.416944081,0.368421053,0.888820071,85.01572484,97.017806
62,2023-03-09_A_T04,SE033C,,213,7,9.288065287,2141.71407,2.772375,92,26.625,482405.7511,134.2131208,0.490474206,0.645255633,0.227596477,1.045137674,8.229148373,41.30046948,25.6713615,33.9342723,6.637059828,5.543255135,3.606905097,43.16901408,8.944774616,333.1400966,280.7246377,52.41545894,12.367288,11.35927499,9.633864676,13.68606387,208.6152783,1231.777412,11.92750271,0.971830986,1.106732706,106.9619766,89.375,37.15909091,52.21590909,12.70552353,12.80822115,10.40077315,14.93201634,183.5801833,1067.577478,10.31022696,0.82629108,1.110939101,49.44184198,287.699115,144.2477876,143.4513274,9.295044063,8.265975438,0.530516432,1.024148128,119.9985642,99.367548
63,2023-03-09_A_T05,SE033B,,217,6,10.2417241,2215.388234,2.943142857,130,31.0,308487.9481,121.6564164,0.468634496,0.650861934,0.213870674,0.814462541,8.875992353,36.49769585,27.30875576,28.26267281,6.318084952,5.32203201,3.368345223,36.8,5.878775383,312.6267281,251.7511521,60.87557604,10.36561227,9.343926141,7.333673696,12.66991356,403.4018409,2611.296178,25.86254857,1.0,0.809241957,62.98279938,152.5118483,89.66824645,62.8436019,8.027002424,9.099903459,4.651132618,13.86896308,300.3257692,1997.811459,19.70353865,0.97235023,1.010285455,41.18900606,341.4356436,178.6138614,162.8217822,6.208117386,4.176933311,0.930875576,0.859340923,117.3555966,99.084908
64,2023-03-15_A_T01,SE034C,,216,7,11.09930961,2496.890279,2.35375,80,27.0,580909.7608,170.9422999,0.545488106,0.57972259,0.275052488,1.003302109,8.930658756,33.20833333,25.27314815,25.81944444,5.876674308,5.723928114,4.408513614,36.55092593,8.251666446,260.9722222,197.2222222,63.75,13.77057804,13.33030011,11.09169972,16.52763729,411.2275065,2866.958166,24.56631781,1.0,0.944625355,74.57583244,106.2921348,47.52808989,58.76404494,9.487467353,10.06234625,5.887406994,13.92775547,286.8618762,1889.836211,16.89860081,0.824074074,1.355989012,53.21953731,284.7260274,150.7534247,133.9726027,8.13778746,5.639635906,0.675925926,0.974521676,91.42768395,94.765558
65,2023-03-16_A_T05,SE035A,,36,22,2.463487595,369.5322524,0.247086957,3,1.565217391,386111.8881,173.9772421,0.549736848,0.642444353,0.214375675,1.185623666,9.575359001,35.91666667,29.08333333,34.75,5.549649639,5.702704037,6.313015656,57.44444444,8.247708249,305.0,245.9090909,59.09090909,17.59986199,12.95486466,10.75526756,17.08052822,288.8016865,1859.961441,18.43984222,0.611111111,1.252762968,120.7834275,125.4285714,64.57142857,60.85714286,9.957772659,11.79454121,6.556372321,17.17531174,215.1732763,1401.745495,13.8657871,0.972222222,1.15923691,63.93491589,342.7272727,232.4242424,110.3030303,9.284308326,7.215742693,0.916666667,1.326870941,149.4845751,89.450222
